"","office","description","city","zip","state","parish","candidate","party","level","type","genoffice","race","gender"
"766","Coroner",NA,"Farmerville","71241-8318","LA","UNION","Abbie Albritton Moon","Republican","Local","Law Enforcement","Coroner","White","Female"
"767","Coroner",NA,"Abbeville","70511-0445","LA","VERMILION","Myriam Hutchinson","Republican","Local","Law Enforcement","Coroner","White","Female"
"768","Coroner",NA,"Leesville","71496","LA","VERNON","Shawn Granger","Republican","Local","Law Enforcement","Coroner","White","Male"
"769","Coroner",NA,"Bogulusa","70429","LA","WASHINGTON","Rogelio ""Roger"" Casama","Democrat","Local","Law Enforcement","Coroner","White","Male"
"770","Coroner",NA,"Minden","71055","LA","WEBSTER","G. Max Stell","Democrat","Local","Law Enforcement","Coroner","White","Male"
"771","Coroner",NA,"Port Allen","70767","LA","WEST BATON ROUGE","Phil Padgett","Republican","Local","Law Enforcement","Coroner","White","Male"
"772","Coroner",NA,"Oak Grove","71263","LA","WEST CARROLL","Noli C. Guinigundo","Republican","Local","Law Enforcement","Coroner","Other","Male"
"773","Coroner",NA,"St. Francisville","70775","LA","WEST FELICIANA","Chaillie Daniel","Other","Local","Law Enforcement","Coroner","White","Male"
"774","Coroner",NA,"Winnfield","71483","LA","WINN","James S. Lee","Other","Local","Law Enforcement","Coroner","White","Male"
"775","Parish President",NA,"Gonzales","70737","LA","ASCENSION","Kenneth ""Kenny"" Matassa","Republican","Local","Executive","Parish President","White","Male"
"776","Mayor-President","Metro Council, City of Baton Rouge","Baton Rouge","70802","LA","EAST BATON ROUGE","Sharon Weston Broome","Democrat","Local","Executive","Mayor","Black or African American","Female"
"777","Parish President",NA,"New Iberia","70560-4543","LA","IBERIA","M. Larry Richard","Other","Local","Executive","Parish President","Black or African American","Male"
"778","Parish President",NA,"Plaquemine","70765-0389","LA","IBERVILLE","Jessel Mitchell Ourso, Jr.","Democrat","Local","Executive","Parish President","White","Male"
"779","Parish President",NA,"Gretna","70054","LA","JEFFERSON","Michael S. Yenni","Republican","Local","Executive","Parish President","White","Male"
"780","Mayor-President",NA,"Lafayette","70502","LA","LAFAYETTE","Joel Robideaux","Republican","Local","Executive","Mayor","White","Male"
"781","Parish President",NA,"Thibodaux","70302","LA","LAFOURCHE","""Jimmy"" Cantrelle","Other","Local","Executive","Parish President","White","Male"
"782","Parish President",NA,"Livingston","70754","LA","LIVINGSTON","Layton Ricks","Republican","Local","Executive","Parish President","White","Male"
"783","Parish President",NA,"Natchitoches","71458","LA","NATCHITOCHES","""Rick"" Nowlin","Republican","Local","Executive","Parish President","White","Male"
"784","Mayor","City of New Orleans",NA,NA,NA,"ORLEANS","LaToya Cantrell","Democrat","Local","Executive","Mayor","Black or African American","Female"
"785","Parish President",NA,"Pointe-a-la-Hache","70082","LA","PLAQUEMINES","Amos Cormier","Republican","Local","Executive","Parish President","White","Male"
"786","Parish President",NA,"Chalmette","70043","LA","ST. BERNARD","Guy McInnis","Other","Local","Executive","Parish President","White","Male"
"787","Parish President",NA,NA,NA,NA,"ST. CHARLES","Larry Cochran","Democrat","Local","Executive","Parish President","White","Male"
"788","Parish President",NA,"Vacherie","70090","LA","ST. JAMES","Timothy ""Timmy"" Roussel","Democrat","Local","Executive","Parish President","White","Male"
"789","Parish President",NA,"LaPlace","70068","LA","ST. JOHN THE BAPTIST","Natalie Robottom","Democrat","Local","Executive","Parish President","Black or African American","Female"
"790","Parish President",NA,"Opelousas","70571-1550","LA","ST. LANDRY","W. K. ""Bill"" Fontenot, Jr.","Democrat","Local","Executive","Parish President","White","Male"
"791","Parish President",NA,"St. Martinville","70582","LA","ST. MARTIN","Chester Cedars",NA,"Local","Executive","Parish President",NA,NA
"792","Parish President",NA,"Franklin","70538","LA","ST. MARY","David Hanagriff","Democrat","Local","Executive","Parish President","White","Male"
"793","Parish President",NA,"Covington","70434","LA","ST. TAMMANY","Patricia ""Pat"" Brister","Republican","Local","Executive","Parish President","White","Female"
"794","Parish President",NA,"Amite","70422","LA","TANGIPAHOA","""Robby"" Miller, Jr.","Republican","Local","Executive","Parish President","White","Male"
"795","Parish President",NA,"Houma","70361","LA","TERREBONNE","Gordon ""Gordy"" Dove","Republican","Local","Executive","Parish President","White","Male"
"796","Parish President",NA,"Franklinton","70438","LA","WASHINGTON","Richard Ned Thomas, Jr.","Democrat","Local","Executive","Parish President","White","Male"
"797","Parish President",NA,"Port Allen","70767","LA","WEST BATON ROUGE","Riley ""Pee Wee"" Berthelot, Jr.","Democrat","Local","Executive","Parish President","White","Male"
"798","Parish President",NA,"St. Francisville","70775","LA","WEST FELICIANA","Kevin Couhig","Republican","Local","Executive","Parish President","White","Male"
"799","Councilman at Large","Division  A","Gretna","70054","LA","JEFFERSON","Christopher ""Chris"" Roberts","Republican","Local","Local Government","Council Member","White","Male"
"800","Councilman at Large","Division  B","Gretna","70054","LA","JEFFERSON","Cynthia Lee-Sheng","Republican","Local","Local Government","Council Member","Other","Female"
"801","Councilmember at Large","Division 1",NA,NA,NA,"ORLEANS","Helena Moreno","Democrat","Local","Local Government","Council Member","White","Female"
"802","Councilmember at Large","Division 2",NA,NA,NA,"ORLEANS","Jason Williams","Democrat","Local","Local Government","Council Member","Black or African American","Male"
"803","Councilman at Large","Eastern Division","Chalmette","70043","LA","ST. BERNARD","Kerri Callais","Republican","Local","Local Government","Council Member","White","Female"
"804","Councilman at Large","Western Division","Chalmette","70043","LA","ST. BERNARD","Richard ""Richie"" Lewis","Republican","Local","Local Government","Council Member","White","Male"
"805","Councilman at Large","Division A","Hahnville","70057","LA","ST. CHARLES","Wendy Benedetto","Republican","Local","Local Government","Council Member","White","Female"
"806","Councilman at Large","Division B","Hahnville","70057","LA","ST. CHARLES","Paul Hogan","Republican","Local","Local Government","Council Member","White","Male"
"807","Councilman at Large","Division A","LaPlace","70068","LA","ST. JOHN THE BAPTIST","Larry Sorapuru, Jr.","Democrat","Local","Local Government","Council Member","Black or African American","Male"
"808","Councilman at Large","Division B","LaPlace","70068","LA","ST. JOHN THE BAPTIST","Jaclyn Hotard","Democrat","Local","Local Government","Council Member","White","Female"
"809","Police Juror","District  1","Crowley","70527-6001","LA","ACADIA","Gloria Hebert",NA,"Local","Local Government","Police Juror",NA,NA
"810","Police Juror","District  2","Crowley","70527-6001","LA","ACADIA","""Ronnie"" Fabacher","Republican","Local","Local Government","Police Juror","White","Male"
"811","Police Juror","District  3","Crowley","70527-6001","LA","ACADIA","""Chuck"" Broussard","Democrat","Local","Local Government","Police Juror","White","Male"
"812","Police Juror","District  4","Crowley","70527-6001","LA","ACADIA","Kerry T. Kilgore","Republican","Local","Local Government","Police Juror","White","Male"
"813","Police Juror","District  5","Crowley","70527-6001","LA","ACADIA","Jimmie Pellerin","Democrat","Local","Local Government","Police Juror","White","Male"
"814","Police Juror","District  6","Crowley","70527-6001","LA","ACADIA","Richard A. Faul","Democrat","Local","Local Government","Police Juror","White","Male"
"815","Police Juror","District  7","Crowley","70527-6001","LA","ACADIA","David Savoy","Republican","Local","Local Government","Police Juror","White","Male"
"816","Police Juror","District  8","Crowley","70527-6001","LA","ACADIA","Robert J. Guidry","Republican","Local","Local Government","Police Juror","White","Male"
"817","Police Juror","District 1","Oberlin","70655","LA","ALLEN","Ruffin George, Jr.","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"818","Police Juror","District 2","Oberlin","70655","LA","ALLEN","Heath Ardoin","Republican","Local","Local Government","Police Juror","White","Male"
"819","Police Juror","District 3","Oberlin","70655","LA","ALLEN","John W. Strother","Democrat","Local","Local Government","Police Juror","White","Male"
"820","Police Juror","District 4","Oberlin","70655","LA","ALLEN","H. Creig Vizena","Other","Local","Local Government","Police Juror","White","Male"
"821","Police Juror","District 5","Oberlin","70655","LA","ALLEN","""Tony"" Hebert","Democrat","Local","Local Government","Police Juror","White","Male"
"822","Police Juror","District 6","Oberlin","70655","LA","ALLEN","""Matt"" Fontenot","Republican","Local","Local Government","Police Juror","White","Male"
"823","Police Juror","District 7","Oberlin","70655","LA","ALLEN","Kent Fontenot","Democrat","Local","Local Government","Police Juror","White","Male"
"824","Council Member","District  1","Gonzales","70707","LA","ASCENSION","Oliver Joseph","Democrat","Local","Local Government","Council Member","Black or African American","Male"
"825","Council Member","District  2","Gonzales","70737","LA","ASCENSION","William ""Bill"" Dawson","Republican","Local","Local Government","Council Member","White","Male"
"826","Council Member","District  3","Gonzales","70737","LA","ASCENSION","Travis J. Turner","Democrat","Local","Local Government","Council Member","Black or African American","Male"
"827","Council Member","District  4","Gonzales","70737","LA","ASCENSION","Daniel ""Doc"" Satterlee","Republican","Local","Local Government","Council Member","White","Male"
"828","Council Member","District  5","Gonzales","70737","LA","ASCENSION","Dempsey Lambert","Republican","Local","Local Government","Council Member","White","Male"
"829","Council Member","District  6","Gonzales","70737","LA","ASCENSION","Randy Clouatre, Sr.","Other","Local","Local Government","Council Member","White","Male"
"830","Council Member","District  7","Gonzales","70737","LA","ASCENSION","Aaron Lawler","Republican","Local","Local Government","Council Member","White","Male"
"831","Council Member","District  8","Gonzales","70737","LA","ASCENSION","Teri Casso","Republican","Local","Local Government","Council Member","White","Female"
"832","Council Member","District  9","Gonzales","70737","LA","ASCENSION","Todd A. Lambert","Democrat","Local","Local Government","Council Member","White","Male"
"833","Council Member","District 10","Gonzales","70737","LA","ASCENSION","John Cagnolatti","Republican","Local","Local Government","Council Member","White","Male"
"834","Council Member","District 11","Gonzales","70737","LA","ASCENSION","Benny Johnson","Other","Local","Local Government","Council Member","White","Male"
"835","Police Juror","Ward 1","Napoleonville","70390","LA","ASSUMPTION","Ron Alcorn","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"836","Police Juror","Ward 2","Napoleonville","70390","LA","ASSUMPTION","Jeff ""Big Daddy"" Naquin","Democrat","Local","Local Government","Police Juror","White","Male"
"837","Police Juror","Ward 3","Napoleonville","70390","LA","ASSUMPTION","Irving Comeaux","Democrat","Local","Local Government","Police Juror","White","Male"
"838","Police Juror","Ward 4","Napoleonville","70390","LA","ASSUMPTION","Patrick Johnson","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"839","Police Juror","Ward 5","Napoleonville","70390","LA","ASSUMPTION","Martin ""Marty"" Triche","Democrat","Local","Local Government","Police Juror","White","Male"
"840","Police Juror","Ward 6","Napoleonville","70390","LA","ASSUMPTION","""Chris"" Carter","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"841","Police Juror","Ward 7","Napoleonville","70390","LA","ASSUMPTION","Henry J. Dupre","Democrat","Local","Local Government","Police Juror","White","Male"
"842","Police Juror","Ward 8","Napoleonville","70390","LA","ASSUMPTION","Booster Breaux","Democrat","Local","Local Government","Police Juror","White","Male"
"843","Police Juror","Ward 9","Napoleonville","70390","LA","ASSUMPTION","Myron Matherne","Democrat","Local","Local Government","Police Juror","White","Male"
"844","Police Juror","District  1","Marksville","71351","LA","AVOYELLES","Marsha Roszell Wiley","Republican","Local","Local Government","Police Juror","White","Female"
"845","Police Juror","District  2","Marksville","71351","LA","AVOYELLES","Kirby Roy, III","Republican","Local","Local Government","Police Juror","White","Male"
"846","Police Juror","District  3","Marksville","71351","LA","AVOYELLES","Mark Borrel","Democrat","Local","Local Government","Police Juror","White","Male"
"847","Police Juror","District  4","Marksville","71351","LA","AVOYELLES","Glenn B. McKinley","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"848","Police Juror","District  5","Marksville","71351","LA","AVOYELLES","Charles ""Sonny"" Jones","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"849","Police Juror","District  6","Marksville","71351","LA","AVOYELLES","Mckinley ""Pop"" Keller","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"850","Police Juror","District  7","Marksville","71351","LA","AVOYELLES","Trent Patrick Clark","Democrat","Local","Local Government","Police Juror","White","Male"
"851","Police Juror","District  8","Marksville","71351","LA","AVOYELLES","John Earles","Democrat","Local","Local Government","Police Juror","White","Male"
"852","Police Juror","District  9","Marksville","71351","LA","AVOYELLES","Henry I. Moreau","Republican","Local","Local Government","Police Juror","White","Male"
"853","Police Juror","District 1","DeRidder","70634","LA","BEAUREGARD","Gerald ""Mike"" McLeod","Democrat","Local","Local Government","Police Juror","White","Male"
"854","Police Juror","District 2","DeRidder","70634","LA","BEAUREGARD","N. R. ""Rusty"" Williamson","Democrat","Local","Local Government","Police Juror","White","Male"
"855","Police Juror","District 3A","DeRidder","70634","LA","BEAUREGARD","Carlos Archield","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"856","Police Juror","District 3B","DeRidder","70634","LA","BEAUREGARD","""Teddy"" Welch","Republican","Local","Local Government","Police Juror","White","Male"
"857","Police Juror","District 3C","DeRidder","70634","LA","BEAUREGARD","Elvin D. ""Doc"" Holliday","Republican","Local","Local Government","Police Juror","White","Male"
"858","Police Juror","District 3D","DeRidder","70634","LA","BEAUREGARD","""Mike"" Harper","Other","Local","Local Government","Police Juror","White","Male"
"859","Police Juror","District 3E","DeRidder","70634","LA","BEAUREGARD","Jerry L. Shirley","Republican","Local","Local Government","Police Juror","White","Male"
"860","Police Juror","District 4A","DeRidder","70634","LA","BEAUREGARD","John A. Stebbins","Other","Local","Local Government","Police Juror","White","Male"
"861","Police Juror","District 4B","DeRidder","70634","LA","BEAUREGARD","Ronnie L. Jackson","Republican","Local","Local Government","Police Juror","White","Male"
"862","Police Juror","District 5","DeRidder","70634","LA","BEAUREGARD","""Ronnie"" Libick","Democrat","Local","Local Government","Police Juror","White","Male"
"863","Police Juror","District 1","Arcadia","71001","LA","BIENVILLE","William ""Bill"" Sims","Other","Local","Local Government","Police Juror","White","Male"
"864","Police Juror","District 2","Arcadia","71001","LA","BIENVILLE","Jerry Roberson","Other","Local","Local Government","Police Juror","Black or African American","Male"
"865","Police Juror","District 3","Arcadia","71001","LA","BIENVILLE","Darryl Ryder","Other","Local","Local Government","Police Juror","Black or African American","Male"
"866","Police Juror","District 4","Arcadia","71001","LA","BIENVILLE","Jerry Bates","Democrat","Local","Local Government","Police Juror","White","Male"
"867","Police Juror","District 5","Arcadia","71001","LA","BIENVILLE","Joseph ""Tony"" Lawson","Other","Local","Local Government","Police Juror","White","Male"
"868","Police Juror","District 6","Arcadia","71001","LA","BIENVILLE","Michael Nelson","Republican","Local","Local Government","Police Juror","White","Male"
"869","Police Juror","District 7","Arcadia","71001","LA","BIENVILLE","Raymond Malone","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"870","Police Juror","District  1","Benton","71006","LA","BOSSIER","""Coach Bob"" Brotherton","Republican","Local","Local Government","Police Juror","White","Male"
"871","Police Juror","District  2","Benton","71006","LA","BOSSIER","Glenn Benton","Republican","Local","Local Government","Police Juror","White","Male"
"872","Police Juror","District  3","Benton","71006","LA","BOSSIER","Wanda S. Bennett","Republican","Local","Local Government","Police Juror","White","Female"
"873","Police Juror","District  4","Benton","71006","LA","BOSSIER","Norman D. Craig",NA,"Local","Local Government","Police Juror",NA,NA
"874","Police Juror","District  5","Benton","71006","LA","BOSSIER","Jack ""Bump"" Skaggs","Republican","Local","Local Government","Police Juror","White","Male"
"875","Police Juror","District  6","Benton","71006","LA","BOSSIER","""Rick"" L. Avery","Republican","Local","Local Government","Police Juror","White","Male"
"876","Police Juror","District  7","Benton","71006","LA","BOSSIER","James ""Jimmy"" Cochran","Democrat","Local","Local Government","Police Juror","White","Male"
"877","Police Juror","District  8","Benton","71006","LA","BOSSIER","Douglas E. ""Doug"" Rimmer, Sr.","Republican","Local","Local Government","Police Juror","White","Male"
"878","Police Juror","District  9","Benton","71006","LA","BOSSIER","""Freddy"" Shewmake","Republican","Local","Local Government","Police Juror","White","Male"
"879","Police Juror","District 10","Benton","71006","LA","BOSSIER","Jerome Darby","Other","Local","Local Government","Police Juror","Black or African American","Male"
"880","Police Juror","District 11","Benton","71006","LA","BOSSIER","""Tom"" Salzer","Republican","Local","Local Government","Police Juror","White","Male"
"881","Police Juror","District 12","Benton","71006","LA","BOSSIER","Paul ""Mac"" Plummer","Republican","Local","Local Government","Police Juror","White","Male"
"882","Parish Commission Member","District  1","Shreveport","71101-5409","LA","CADDO","""Doug"" Dominick","Republican","Local","Local Government","Parish Commission Member","White","Male"
"883","Parish Commission Member","District  2","Shreveport","71101-5409","LA","CADDO","Lyndon B. Johnson","Democrat","Local","Local Government","Parish Commission Member","Black or African American","Male"
"884","Parish Commission Member","District  3","Shreveport","71101-5409","LA","CADDO","Steven Jackson","Democrat","Local","Local Government","Parish Commission Member","Black or African American","Male"
"885","Parish Commission Member","District  4","Shreveport","71101-5409","LA","CADDO","Matthew Linn","Republican","Local","Local Government","Parish Commission Member","White","Male"
"886","Parish Commission Member","District  5","Shreveport","71101-5409","LA","CADDO","J. Bowman","Democrat","Local","Local Government","Parish Commission Member","Black or African American","Male"
"887","Parish Commission Member","District  6","Shreveport","71101-5409","LA","CADDO","Lynn D. Cawthorne","Democrat","Local","Local Government","Parish Commission Member","Black or African American","Male"
"888","Parish Commission Member","District  7","Shreveport","71101-5409","LA","CADDO","Stormy Gage Watts","Democrat","Local","Local Government","Parish Commission Member","Black or African American","Female"
"889","Parish Commission Member","District  8","Shreveport","71101-5409","LA","CADDO","""Mike"" Middleton","Republican","Local","Local Government","Parish Commission Member","White","Male"
"890","Parish Commission Member","District  9","Shreveport","71101-5409","LA","CADDO","John E. Atkins","Republican","Local","Local Government","Parish Commission Member","White","Male"
"891","Parish Commission Member","District 10","Shreveport","71101-5409","LA","CADDO","Mario Chavez","Republican","Local","Local Government","Parish Commission Member","Other","Male"
"892","Parish Commission Member","District 11","Shreveport","71101-5409","LA","CADDO","""Jim"" Smith","Republican","Local","Local Government","Parish Commission Member","White","Male"
"893","Parish Commission Member","District 12","Shreveport","71101-5409","LA","CADDO","Louis Johnson","Democrat","Local","Local Government","Parish Commission Member","Black or African American","Male"
"894","Police Juror","District  1","Lake Charles","70602-3287","LA","CALCASIEU","Kevin White","Republican","Local","Local Government","Police Juror","White","Male"
"895","Police Juror","District  2","Lake Charles","70602-3287","LA","CALCASIEU","Calvin Collins","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"896","Police Juror","District  3","Lake Charles","70602-3287","LA","CALCASIEU","Shelly Mayo","Democrat","Local","Local Government","Police Juror","Black or African American","Female"
"897","Police Juror","District  4","Lake Charles","70602-3287","LA","CALCASIEU","Tony Guillory","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"898","Police Juror","District  5","Lake Charles","70602-3287","LA","CALCASIEU","Brian Abshire","Other","Local","Local Government","Police Juror","White","Male"
"899","Police Juror","District  6","Lake Charles","70602-3287","LA","CALCASIEU","Dennis Ray Scott","Republican","Local","Local Government","Police Juror","White","Male"
"900","Police Juror","District  7","Lake Charles","70602-3287","LA","CALCASIEU","Chris Landry","Other","Local","Local Government","Police Juror","White","Male"
"901","Police Juror","District  8","Lake Charles","70602-3287","LA","CALCASIEU","Guy Brame","Republican","Local","Local Government","Police Juror","White","Male"
"902","Police Juror","District  9","Lake Charles","70602-3287","LA","CALCASIEU","Kevin D. Guidry","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"903","Police Juror","District 10","Lake Charles","70602-3287","LA","CALCASIEU","Shalon Latour","Republican","Local","Local Government","Police Juror","Other","Male"
"904","Police Juror","District 11","Lake Charles","70602-3287","LA","CALCASIEU","""Sandy"" Treme","Democrat","Local","Local Government","Police Juror","White","Female"
"905","Police Juror","District 12","Lake Charles","70602-3287","LA","CALCASIEU","Judd Bares","Republican","Local","Local Government","Police Juror","White","Male"
"906","Police Juror","District 13","Lake Charles","70602-3287","LA","CALCASIEU","Francis Andrepont","Democrat","Local","Local Government","Police Juror","White","Male"
"907","Police Juror","District 14","Lake Charles","70602-3287","LA","CALCASIEU","""Hal"" McMillin","Republican","Local","Local Government","Police Juror","White","Male"
"908","Police Juror","District 15","Lake Charles","70602-3287","LA","CALCASIEU","""Les"" Farnum","Democrat","Local","Local Government","Police Juror","White","Male"
"909","Police Juror","District 1","Columbia","71418","LA","CALDWELL","Kenneth ""Speck"" Graham","Other","Local","Local Government","Police Juror","White","Male"
"910","Police Juror","District 2","Columbia","71418","LA","CALDWELL","Lanny Dark","Other","Local","Local Government","Police Juror","White","Male"
"911","Police Juror","District 3","Columbia","71418","LA","CALDWELL","""Ben"" Clark","Other","Local","Local Government","Police Juror","White","Male"
"912","Police Juror","District 4","Columbia","71418","LA","CALDWELL","Kevin Martin","Republican","Local","Local Government","Police Juror","Black or African American","Male"
"913","Police Juror","District 5","Columbia","71418","LA","CALDWELL","Manuel Escalon","Republican","Local","Local Government","Police Juror","White","Male"
"914","Police Juror","District 6","Columbia","71418","LA","CALDWELL","Glenn Barnhill","Democrat","Local","Local Government","Police Juror","White","Male"
"915","Police Juror","District 7","Columbia","71418","LA","CALDWELL","Aubrey Bratton","Republican","Local","Local Government","Police Juror","White","Male"
"916","Police Juror","District 1","Cameron","70631","LA","CAMERON","Curtis R. Fountain","Democrat","Local","Local Government","Police Juror","White","Male"
"917","Police Juror","District 2","Cameron","70631","LA","CAMERON","Dino Hicks","Democrat","Local","Local Government","Police Juror","White","Male"
"918","Police Juror","District 3","Cameron","70631","LA","CAMERON","Kirk Quinn","Democrat","Local","Local Government","Police Juror","White","Male"
"919","Police Juror","District 4","Cameron","70631","LA","CAMERON","Terry Beard","Democrat","Local","Local Government","Police Juror","White","Male"
"920","Police Juror","District 5","Cameron","70631","LA","CAMERON","Davy L. Doxey","Democrat","Local","Local Government","Police Juror","White","Male"
"921","Police Juror","District 6","Cameron","70631","LA","CAMERON","Joe Dupont","Republican","Local","Local Government","Police Juror","White","Male"
"922","Police Juror","District 7","Cameron","70631","LA","CAMERON","Darryl L. Farque","Democrat","Local","Local Government","Police Juror","White","Male"
"923","Police Juror","District 8",NA,NA,NA,"CAMERON","Lawrence ""Lee"" Faulk, Jr.","Other","Local","Local Government","Police Juror","White","Male"
"924","Police Juror","District 1","Harrisonburg","71340","LA","CATAHOULA","""Ben"" Otwell","Democrat","Local","Local Government","Police Juror","White","Male"
"925","Police Juror","District 2","Harrisonburg","71340","LA","CATAHOULA","Jerel A. Evans",NA,"Local","Local Government","Police Juror",NA,NA
"926","Police Juror","District 3","Harrisonburg","71340","LA","CATAHOULA","Judia ""Judy"" Duhon","Democrat","Local","Local Government","Police Juror","White","Female"
"927","Police Juror","District 4","Harrisonburg","71340","LA","CATAHOULA","Harold Sones","Republican","Local","Local Government","Police Juror","White","Male"
"928","Police Juror","District 5","Harrisonburg","71340","LA","CATAHOULA","Delores McEntyre","Other","Local","Local Government","Police Juror","White","Female"
"929","Police Juror","District 6","Harrisonburg","71340","LA","CATAHOULA","Libby Ford","Other","Local","Local Government","Police Juror","White","Female"
"930","Police Juror","District 7","Harrisonburg","71340","LA","CATAHOULA","Rickie K. Crumpton","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"931","Police Juror","District 8","Harrisonburg","71340","LA","CATAHOULA","Debra Jones Hawkins","Democrat","Local","Local Government","Police Juror","Black or African American","Female"
"932","Police Juror","District 9","Harrisonburg","71340","LA","CATAHOULA","Jackie Paulk","Other","Local","Local Government","Police Juror","White","Male"
"933","Police Juror","District  1","Homer","71040","LA","CLAIBORNE","James Laird","Other","Local","Local Government","Police Juror","White","Male"
"934","Police Juror","District  2","Homer","71040","LA","CLAIBORNE","Mark Furlow","Other","Local","Local Government","Police Juror","White","Male"
"935","Police Juror","District  3","Homer","71040","LA","CLAIBORNE","Kevin Gray","Other","Local","Local Government","Police Juror","White","Male"
"936","Police Juror","District  4","Homer","71040","LA","CLAIBORNE","Joe A. Sturges","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"937","Police Juror","District  5","Homer","71040","LA","CLAIBORNE","Paul Russel Cook","Other","Local","Local Government","Police Juror","White","Male"
"938","Police Juror","District  6","Homer","71040","LA","CLAIBORNE","Scott Davidson","Other","Local","Local Government","Police Juror","White","Male"
"939","Police Juror","District  7","Homer","71040","LA","CLAIBORNE","Joseph ""Uncle Joe"" Merritt, Jr.","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"940","Police Juror","District  8","Homer","71040","LA","CLAIBORNE","Tommy Sanders","Other","Local","Local Government","Police Juror","White","Male"
"941","Police Juror","District  9","Homer","71040","LA","CLAIBORNE","""Gil"" Dowies","Republican","Local","Local Government","Police Juror","White","Male"
"942","Police Juror","District 10","Homer","71040","LA","CLAIBORNE","Willie J. Young, Sr.","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"943","Police Juror","District 1, Place A","Vidalia","71373","LA","CONCORDIA","Carey Cook","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"944","Police Juror","District 1, Place B","Vidalia","71373","LA","CONCORDIA","""Joe Bear"" Parker","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"945","Police Juror","District 2","Vidalia","71373","LA","CONCORDIA","Willie J. Dunbar","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"946","Police Juror","District 3, Place A","Vidalia","71373","LA","CONCORDIA","Adam Probst","Republican","Local","Local Government","Police Juror","White","Male"
"947","Police Juror","District 3, Place B","Vidalia","71373","LA","CONCORDIA","""Whest"" Shirley","Republican","Local","Local Government","Police Juror","White","Male"
"948","Police Juror","District 4, Place A","Vidalia","71373","LA","CONCORDIA","Jerry Beatty","Democrat","Local","Local Government","Police Juror","White","Male"
"949","Police Juror","District 4, Place B","Vidalia","71373","LA","CONCORDIA","Jimmy Wilkinson","Other","Local","Local Government","Police Juror","White","Male"
"950","Police Juror","District 5, Place A","Vidalia","71373","LA","CONCORDIA","""Jimmy"" Jernigan","Democrat","Local","Local Government","Police Juror","White","Male"
"951","Police Juror","District 5, Place B","Vidalia","71373","LA","CONCORDIA","Tommy ""Red"" Tiffee","Democrat","Local","Local Government","Police Juror","White","Male"
"952","Police Juror","District 1A","Mansfield","71052","LA","DE SOTO","Charles ""Charlie"" Roberts","Republican","Local","Local Government","Police Juror","White","Male"
"953","Police Juror","District 1B","Mansfield","71052","LA","DE SOTO","Dewayne Mitchell","Democrat","Local","Local Government","Police Juror","White","Male"
"954","Police Juror","District 1C","Mansfield","71052","LA","DE SOTO","Keith Parker",NA,"Local","Local Government","Police Juror",NA,NA
"955","Police Juror","District 2","Mansfield","71052","LA","DE SOTO","Jim ""Jimbo"" Davlin","Republican","Local","Local Government","Police Juror","White","Male"
"956","Police Juror","District 3","Mansfield","71052","LA","DE SOTO","Gregory ""Greg"" Baker","Republican","Local","Local Government","Police Juror","White","Male"
"957","Police Juror","District 4A","Mansfield","71052","LA","DE SOTO","Richard Fuller","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"958","Police Juror","District 4B","Mansfield","71052","LA","DE SOTO","Jeri A. Burrell","Democrat","Local","Local Government","Police Juror","Black or African American","Female"
"959","Police Juror","District 4C","Mansfield","71052","LA","DE SOTO","Ernel Jones","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"960","Police Juror","District 4D","Mansfield","71052","LA","DE SOTO","Thomas Jones","Democrat","Local","Local Government","Police Juror","Black or African American","Male"
"961","Police Juror","District 5","Mansfield","71052","LA","DE SOTO","Reggie Roe","Democrat","Local","Local Government","Police Juror","White","Male"
"962","Police Juror","District 6","Mansfield","71052","LA","DE SOTO","Rodriguez Dale Ross","Other","Local","Local Government","Police Juror","Black or African American","Male"
"963","Councilman","Metro District  1","Baton Rouge","70821","LA","EAST BATON ROUGE","""Trae"" Welch","Republican","Local","Local Government","Council Member","White","Male"
"964","Councilman","Metro District  2","Baton Rouge","70802","LA","EAST BATON ROUGE","Chauna Banks","Democrat","Local","Local Government","Council Member","Black or African American","Female"
"965","Councilman","Metro District  3","Baton Rouge","70802","LA","EAST BATON ROUGE","Chandler Loupe","Republican","Local","Local Government","Council Member","White","Male"
