,party,votes,district,candidate,parish,n_rep,n_other,sex,n_dem,n_can,n_nopty,year,position,estimate_confidence
668,DEM,85,Village of Richmond (3 to be elected),Tommy Wixson ,Madison,4,0,m,1,6,1,2014,Aldermen,0.9841493187805505
669,DEM,40,Village of Robeline (3 to be elected),Ann Moran ,Natchitoches,0,1,f,3,4,0,2014,Aldermen,0.9974032930915709
670,DEM,58,Village of Robeline (3 to be elected),Bergen Oge ,Natchitoches,0,1,f,3,4,0,2014,Aldermen,0.9901516316067817
671,OTHER,71,Village of Robeline (3 to be elected),Gilda Jenkins ,Natchitoches,0,1,f,3,4,0,2014,Aldermen,1.0
672,DEM,57,Village of Robeline (3 to be elected),Randall Bockstanz ,Natchitoches,0,1,m,3,4,0,2014,Aldermen,0.9934086762384398
673,NOPTY,136,Village of Sicily Island (3 to be elected),"""Mark"" Krause ",Catahoula,0,1,m,2,4,1,2014,Aldermen,0.9964442833016813
674,DEM,146,Village of Sicily Island (3 to be elected),Derrick Frazier ,Catahoula,0,1,m,2,4,1,2014,Aldermen,0.9906016544670052
675,OTHER,123,Village of Sicily Island (3 to be elected),Donald E. Ashley ,Catahoula,0,1,m,2,4,1,2014,Aldermen,0.995398079943256
676,DEM,130,Village of Sicily Island (3 to be elected),"Emma ""Donna"" Hilliard ",Catahoula,0,1,f,2,4,1,2014,Aldermen,0.996197314681433
677,REP,177,Village of Simpson (3 to be elected),"Carol ""Ma Carol"" Adams ",Vernon,4,0,f,0,4,0,2016,Aldermen,0.9941082026775532
678,REP,197,Village of Simpson (3 to be elected),Lisa Thompson ,Vernon,4,0,f,0,4,0,2016,Aldermen,0.9971870545600628
679,REP,255,Village of Simpson (3 to be elected),Neil Standifer ,Vernon,4,0,m,0,4,0,2016,Aldermen,0.995477088722658
680,REP,203,Village of Simpson (3 to be elected),Paula Parker ,Vernon,4,0,f,0,4,0,2016,Aldermen,0.9971842969754573
681,DEM,191,Village of Simsboro (3 to be elected),"""Doug"" Durrett ",Lincoln,1,1,m,4,6,0,2014,Aldermen,0.9997417529910575
682,DEM,147,Village of Simsboro (3 to be elected),"""Joe"" Reed ",Lincoln,1,1,m,4,6,0,2014,Aldermen,0.9718723238910905
683,REP,134,Village of Simsboro (3 to be elected),Jerry Davis ,Lincoln,1,1,m,4,6,0,2014,Aldermen,0.974761974032612
684,DEM,70,Village of Simsboro (3 to be elected),Kimberly Harris ,Lincoln,1,1,f,4,6,0,2014,Aldermen,0.9948885820067677
685,DEM,86,Village of Simsboro (3 to be elected),"Rickey A. Grigsby, Sr. ",Lincoln,1,1,m,4,6,0,2014,Aldermen,0.9876915746200805
686,OTHER,78,Village of Simsboro (3 to be elected),Thomas Wayne Neuroth ,Lincoln,1,1,m,4,6,0,2014,Aldermen,0.995826643361949
687,DEM,77,Village of Tangipahoa (3 to be elected),"""Lamar"" Stewart ",Tangipahoa,0,0,m,7,7,0,2016,Aldermen,0.9720467673814014
688,DEM,136,Village of Tangipahoa (3 to be elected),Debrah Scott-Cyprian ,Tangipahoa,0,0,f,7,7,0,2016,Aldermen,1.0
689,DEM,77,Village of Tangipahoa (3 to be elected),"Pamela ""Muffie"" Bean ",Tangipahoa,0,0,f,7,7,0,2016,Aldermen,0.9977921444613246
690,DEM,157,Village of Tangipahoa (3 to be elected),Ricky L. Coleman ,Tangipahoa,0,0,m,7,7,0,2016,Aldermen,0.9913254239721818
691,DEM,145,Village of Tangipahoa (3 to be elected),Shelia Martin ,Tangipahoa,0,0,f,7,7,0,2016,Aldermen,0.9977421802801725
692,DEM,89,Village of Tangipahoa (3 to be elected),Vanessa Williams ,Tangipahoa,0,0,f,7,7,0,2016,Aldermen,0.9950430621675244
693,DEM,118,Village of Tangipahoa (3 to be elected),Virginia G. Baker ,Tangipahoa,0,0,f,7,7,0,2016,Aldermen,0.9970966418724108
694,DEM,94,Village of Waterproof (3 to be elected),Bobby Wilkerson ,Tensas,0,0,m,7,7,0,2014,Aldermen,0.9689897702743147
695,DEM,99,Village of Waterproof (3 to be elected),Emma Collins ,Tensas,0,0,f,7,7,0,2014,Aldermen,0.996197314681433
696,DEM,167,Village of Waterproof (3 to be elected),Henry James Jenkins ,Tensas,0,0,m,7,7,0,2014,Aldermen,0.9911994957152276
697,DEM,58,Village of Waterproof (3 to be elected),"Lionel Travers, Jr. ",Tensas,0,0,m,7,7,0,2014,Aldermen,0.9975899121660179
698,DEM,185,Village of Waterproof (3 to be elected),Robert Clark ,Tensas,0,0,m,7,7,0,2014,Aldermen,0.9952560453690997
699,DEM,54,Village of Waterproof (3 to be elected),Shelly Thomas White ,Tensas,0,0,f,7,7,0,2014,Aldermen,0.9840746189820903
700,DEM,100,Village of Waterproof (3 to be elected),Veronica Stacker ,Tensas,0,0,f,7,7,0,2014,Aldermen,0.9950506929714369
701,DEM,740,Town of Gramercy (2 to be elected),"Claude ""Clyde"" Wiggins ",St. James,0,0,m,3,3,0,2014,Aldermen at Large,0.9894831643354063
702,DEM,629,Town of Gramercy (2 to be elected),Craig B. Calcagno ,St. James,0,0,m,3,3,0,2014,Aldermen at Large,0.9961499486460932
703,DEM,547,Town of Gramercy (2 to be elected),Rubenstein Mitchell Clark ,St. James,0,0,,3,3,0,2014,Aldermen at Large,0
704,NOPTY,9005,NA,"Jerome ""Dee"" Richard ",Lafourche,1,0,m,0,3,2,2014,Assessor,0.9919786023242217
705,REP,4646,NA,"Jonathan ""Jo-Jo"" Cheramie ",Lafourche,1,0,m,0,3,2,2014,Assessor,0.9940414704739378
706,NOPTY,14377,NA,Wendy Thibodeaux ,Lafourche,1,0,f,0,3,2,2014,Assessor,0.9965919516665411
707,REP,133389,"Supreme Court, 3rd Supreme Court District","James ""Jimmy"" Genovese ",Multi-Parish Race,2,0,m,0,2,0,2016,Associate Justice,0.9948946927250034
708,REP,128598,"Supreme Court, 3rd Supreme Court District",Marilyn Castle ,Multi-Parish Race,2,0,f,0,2,0,2016,Associate Justice,0.9975199420639768
709,REP,1225,City of Breaux Bridge,"""P.J."" Hebert ",St. Martin,2,0,,0,2,0,2014,Chief of Police,0
710,REP,1831,City of Breaux Bridge,"""Rollie"" Cantu ",St. Martin,2,0,m,0,2,0,2014,Chief of Police,0.9934281881250211
711,REP,1862,City of Broussard,Brannon Decou ,Multi-Parish Race,2,0,m,0,2,0,2014,Chief of Police,0.9615810980489529
712,REP,1491,City of Broussard,Todd Mouton ,Multi-Parish Race,2,0,m,0,2,0,2014,Chief of Police,0.9958208312457597
713,DEM,318,City of Crowley,Bendell Hunter ,Acadia,1,0,,2,3,0,2014,Chief of Police,0
714,DEM,3146,City of Crowley,K. P. Gibson ,Acadia,1,0,,2,3,0,2014,Chief of Police,0
715,REP,762,City of Crowley,Madeline Robinson Cronin ,Acadia,1,0,f,2,3,0,2014,Chief of Police,0.9980852955338412
716,OTHER,1433,City of Eunice,"""Randy"" Fontenot ",Multi-Parish Race,2,1,m,2,5,0,2014,Chief of Police,0.983812860653693
717,REP,255,City of Eunice,Bart L. Thibodeaux ,Multi-Parish Race,2,1,m,2,5,0,2014,Chief of Police,0.9996312079221762
718,DEM,295,City of Eunice,"Joseph ""Jo Jo"" Reed ",Multi-Parish Race,2,1,m,2,5,0,2014,Chief of Police,0.9948957606347725
719,DEM,811,City of Eunice,"Raymond ""Bubba"" Cole ",Multi-Parish Race,2,1,m,2,5,0,2014,Chief of Police,0.9942180892480348
720,REP,717,City of Eunice,Ronald J. Dies ,Multi-Parish Race,2,1,m,2,5,0,2014,Chief of Police,0.9956894288101295
721,NOPTY,3615,City of Minden,"""Steve"" Cropper ",Webster,0,1,m,0,2,1,2014,Chief of Police,0.9956905469526298
722,OTHER,813,City of Minden,"""Tim"" Morris ",Webster,0,1,m,0,2,1,2014,Chief of Police,0.9973646155847874
723,NOPTY,1089,City of Oakdale,Joseph Lockett ,Allen,0,0,m,0,2,2,2016,Chief of Police,0.9948957606347725
724,NOPTY,767,City of Oakdale,Scotty Laborde ,Allen,0,0,m,0,2,2,2016,Chief of Police,0.9869569528292879
725,DEM,3126,City of Opelousas,"Donald ""D.T."" Thompson ",St. Landry,0,0,m,4,4,0,2014,Chief of Police,0.995398079943256
726,DEM,192,City of Opelousas,"Elton ""Cowboy Preacher"" Sam, Jr. ",St. Landry,0,0,m,4,4,0,2014,Chief of Police,0.9961079257257325
727,DEM,101,City of Opelousas,"Herman ""Mc"" Rosette ",St. Landry,0,0,m,4,4,0,2014,Chief of Police,0.9922094199323125
728,DEM,2923,City of Opelousas,Perry Gallow ,St. Landry,0,0,m,4,4,0,2014,Chief of Police,0.9742131603754589
729,DEM,818,City of Patterson,"""Pam"" Washington ",St. Mary,0,0,f,2,2,0,2014,Chief of Police,0.9993446356958187
730,DEM,1259,City of Patterson,Patrick M. LaSalle ,St. Mary,0,0,m,2,2,0,2014,Chief of Police,0.9947536442146211
731,NOPTY,1049,City of Port Allen,"Anthony ""Kip"" Dupree ",West Baton Rouge,0,0,m,1,2,1,2016,Chief of Police,0.9931330989707974
732,DEM,1648,City of Port Allen,Esdron Brown ,West Baton Rouge,0,0,,1,2,1,2016,Chief of Police,0
733,DEM,1664,City of Rayne,Carroll J. Stelly ,Acadia,0,2,m,3,5,0,2014,Chief of Police,0.7909529725669063
734,OTHER,37,City of Rayne,David Sykes ,Acadia,0,2,m,3,5,0,2014,Chief of Police,0.9958660209367381
735,DEM,573,City of Rayne,George Melancon ,Acadia,0,2,m,3,5,0,2014,Chief of Police,0.9921466650857803
736,DEM,1064,City of Rayne,"Joseph ""Joe"" Caillet ",Acadia,0,2,m,3,5,0,2014,Chief of Police,0.9948957606347725
737,OTHER,182,City of Rayne,Terry Broussard ,Acadia,0,2,m,3,5,0,2014,Chief of Police,0.7933753306521132
738,REP,1796,City of Slidell,"""Tommy"" Benasco ",St. Tammany,4,0,m,0,4,0,2016,Chief of Police,0.9841493187805505
739,REP,1320,City of Slidell,Jimmie Estes ,St. Tammany,4,0,m,0,4,0,2016,Chief of Police,0.8475755115961737
740,REP,2598,City of Slidell,Kevin P. O'Neill ,St. Tammany,4,0,m,0,4,0,2016,Chief of Police,0.9945180647631703
741,REP,5559,City of Slidell,Randy Fandal ,St. Tammany,4,0,m,0,4,0,2016,Chief of Police,0.983812860653693
742,DEM,1058,City of Springhill,"""Will"" Lynd IV ",Webster,0,0,m,2,2,0,2014,Chief of Police,0.9883319777184352
743,DEM,628,City of Springhill,Ronnie Coleman ,Webster,0,0,m,2,2,0,2014,Chief of Police,0.9618753296503548
744,REP,757,City of Ville Platte,Glenn Leleux ,Evangeline,1,0,m,2,3,0,2014,Chief of Police,0.993056409614462
745,DEM,884,City of Ville Platte,Linton Fontenot ,Evangeline,1,0,m,2,3,0,2014,Chief of Police,1.0
746,DEM,1571,City of Ville Platte,Neal Lartigue ,Evangeline,1,0,m,2,3,0,2014,Chief of Police,0.9970351976922669
747,REP,848,City of Walker,"""Chris"" Dufour ",Livingston,4,0,m,0,4,0,2016,Chief of Police,0.83895278593768
748,REP,767,City of Walker,"""Joey"" Booth ",Livingston,4,0,m,0,4,0,2016,Chief of Police,0.9076394061709203
749,REP,1037,City of Walker,David Addison ,Livingston,4,0,m,0,4,0,2016,Chief of Police,0.9958660209367381
750,REP,80,City of Walker,William Lawson ,Livingston,4,0,m,0,4,0,2016,Chief of Police,0.9953311467968323
751,DEM,849,City of Westlake,Christopher James Wilrye ,Calcasieu,0,0,m,1,2,1,2014,Chief of Police,0.9941438780188482
752,NOPTY,711,City of Westlake,"Rodney Grantham, Jr. ",Calcasieu,0,0,m,1,2,1,2014,Chief of Police,0.994368352107686
753,REP,2219,City of Youngsville,"""Rickey"" Boudreaux ",Lafayette,2,0,m,1,3,0,2014,Chief of Police,0.9876915746200805
754,REP,1243,City of Youngsville,Earl Menard ,Lafayette,2,0,m,1,3,0,2014,Chief of Police,0.9912093836133593
755,DEM,315,City of Youngsville,Gary Williams ,Lafayette,2,0,m,1,3,0,2014,Chief of Police,0.9959022097468163
756,OTHER,574,Town of Amite City,Darrell H. Michael ,Tangipahoa,0,1,m,1,2,0,2016,Chief of Police,0.9915456002242513
757,DEM,1267,Town of Amite City,Jerry Trabona ,Tangipahoa,0,1,m,1,2,0,2016,Chief of Police,0.974761974032612
758,OTHER,282,Town of Arnaudville,Eddy J. Lecompte ,Multi-Parish Race,0,1,m,1,2,0,2014,Chief of Police,0.9715402300026345
759,DEM,215,Town of Arnaudville,"Kenneth ""Toby"" Wetzel ",Multi-Parish Race,0,1,m,1,2,0,2014,Chief of Police,0.995116846001582
760,DEM,247,Town of Baldwin,"Albert ""Al"" Thibodaux ",St. Mary,0,0,m,6,6,0,2014,Chief of Police,0.9932242683523217
761,DEM,124,Town of Baldwin,Daven J. Colar ,St. Mary,0,0,m,6,6,0,2014,Chief of Police,0.9159721896627461
762,DEM,53,Town of Baldwin,David J. Robertson ,St. Mary,0,0,m,6,6,0,2014,Chief of Police,0.9958660209367381
763,DEM,523,Town of Baldwin,"Harry ""Boo Boo"" Smith, Jr. ",St. Mary,0,0,m,6,6,0,2014,Chief of Police,0.9941609442163457
764,DEM,82,Town of Baldwin,Ronnie Fuselier ,St. Mary,0,0,m,6,6,0,2014,Chief of Police,0.9618753296503548
765,DEM,27,Town of Baldwin,Sharandae K. Brannon ,St. Mary,0,0,,6,6,0,2014,Chief of Police,0
766,NOPTY,223,Town of Ball,Curtis Pugh ,Rapides,2,0,m,0,4,2,2014,Chief of Police,0.9911811561390508
767,NOPTY,380,Town of Ball,"Melvin O. Williams, Jr. ",Rapides,2,0,m,0,4,2,2014,Chief of Police,0.9891722493613221
768,REP,729,Town of Ball,"Nathaniel ""Nate"" Ussery ",Rapides,2,0,m,0,4,2,2014,Chief of Police,0.9914282459387478
769,REP,166,Town of Ball,Ray Adams ,Rapides,2,0,m,0,4,2,2014,Chief of Police,0.9814597540543182
770,DEM,899,Town of Blanchard,Gary Paul Presswood ,Caddo,0,0,m,2,2,0,2014,Chief of Police,0.9959022097468163
771,DEM,243,Town of Blanchard,Jammie D. Phill ,Caddo,0,0,f,2,2,0,2014,Chief of Police,0.6446921929413192
772,DEM,243,Town of Boyce,Eddie Washington ,Rapides,0,0,m,3,3,0,2014,Chief of Police,0.9493866083406423
773,DEM,142,Town of Boyce,Preston Durr ,Rapides,0,0,m,3,3,0,2014,Chief of Police,0.9931361418331971
774,DEM,76,Town of Boyce,Steve Stokes ,Rapides,0,0,m,3,3,0,2014,Chief of Police,0.9956905469526298
775,NOPTY,648,Town of Brusly,Jonathan Jules Lefeaux ,West Baton Rouge,0,0,m,1,2,1,2014,Chief of Police,0.9940414704739378
776,DEM,538,Town of Brusly,Paul D. Marionneaux ,West Baton Rouge,0,0,m,1,2,1,2014,Chief of Police,0.995449657970713
777,DEM,262,Town of Campti,Gregory Eldridge ,Natchitoches,0,1,m,1,2,0,2014,Chief of Police,0.9953165996883814
778,OTHER,57,Town of Campti,Rickey Armstead ,Natchitoches,0,1,m,1,2,0,2014,Chief of Police,0.9876915746200805
779,NOPTY,5,Town of Chatham,Barclay James Spears ,Jackson,0,0,m,2,4,2,2016,Chief of Police,0.9605937486757126
780,DEM,207,Town of Chatham,Brandon Myers ,Jackson,0,0,m,2,4,2,2016,Chief of Police,0.9904039266442966
781,NOPTY,19,Town of Chatham,John T. Mize ,Jackson,0,0,m,2,4,2,2016,Chief of Police,0.9954070242261275
782,DEM,10,Town of Chatham,"Matt ""Billy"" Huey ",Jackson,0,0,m,2,4,2,2016,Chief of Police,0.9997125268247282
783,REP,50,Town of Church Point,"""Kim"" Foti ",Acadia,2,1,f,1,4,0,2014,Chief of Police,0.8567083473631981
784,DEM,1047,Town of Church Point,"Albert J. Venable, Sr. ",Acadia,2,1,m,1,4,0,2014,Chief of Police,0.9932242683523217
785,REP,339,Town of Church Point,Mark Gilliam ,Acadia,2,1,m,1,4,0,2014,Chief of Police,0.9964442833016813
786,OTHER,443,Town of Church Point,Ronald Carrier ,Acadia,2,1,m,1,4,0,2014,Chief of Police,0.9956894288101295
787,NOPTY,111,Town of Cottonport,Donald Ray Jenkins ,Avoyelles,1,0,m,2,4,1,2016,Chief of Police,0.995398079943256
788,DEM,388,Town of Cottonport,"Earnest Anderson, Jr. ",Avoyelles,1,0,m,2,4,1,2016,Chief of Police,0.9826599168250826
789,REP,286,Town of Cottonport,Steven John Gauthier ,Avoyelles,1,0,m,2,4,1,2016,Chief of Police,0.9959379276536011
790,DEM,95,Town of Cottonport,Taronda Jacobs ,Avoyelles,1,0,f,2,4,1,2016,Chief of Police,1.0
791,DEM,25,Town of Cullen,Christopher Lauderdale ,Webster,0,0,m,2,3,1,2016,Chief of Police,0.9941438780188482
792,NOPTY,102,Town of Cullen,"George Salsberry, Jr. ",Webster,0,0,m,2,3,1,2016,Chief of Police,0.9921466650857803
793,DEM,198,Town of Cullen,Rosetta Carr Burnett ,Webster,0,0,f,2,3,1,2016,Chief of Police,0.9992500886887895
794,REP,465,Town of Delhi,"""Ken"" Harrell ",Richland,1,0,m,2,3,0,2014,Chief of Police,0.9989603778362764
795,DEM,103,Town of Delhi,Johnny Cleveland ,Richland,1,0,m,2,3,0,2014,Chief of Police,0.9881686765203005
796,DEM,738,Town of Delhi,Nathaniel Roy Williams ,Richland,1,0,m,2,3,0,2014,Chief of Police,0.9914282459387478
797,DEM,153,Town of Elizabeth,"Alan ""Shane"" Ware ",Allen,0,0,m,2,2,0,2014,Chief of Police,0.9965545732292943
798,DEM,92,Town of Elizabeth,Kristina Laird ,Allen,0,0,f,2,2,0,2014,Chief of Police,0.9967172477854916
799,DEM,111,Town of Elton,"""Tony"" Johnson ",Jefferson Davis,0,0,m,3,3,0,2014,Chief of Police,0.987780862229734
800,DEM,250,Town of Elton,Bruce A. Lemelle ,Jefferson Davis,0,0,m,3,3,0,2014,Chief of Police,0.9961559730038894
801,DEM,172,Town of Elton,"Marcus Lemoine, Sr. ",Jefferson Davis,0,0,m,3,3,0,2014,Chief of Police,0.9907745637777557
802,DEM,687,Town of Erath,Gerald Hebert ,Vermilion,1,0,m,1,2,0,2014,Chief of Police,0.9937664702958089
803,REP,303,Town of Erath,"John ""Dob"" Toups ",Vermilion,1,0,m,1,2,0,2014,Chief of Police,0.9954070242261275
804,NOPTY,172,Town of Glenmora,Arnold McCain ,Rapides,0,0,m,0,2,2,2014,Chief of Police,0.9944616834271675
805,NOPTY,352,Town of Glenmora,Thomas Doyle ,Rapides,0,0,m,0,2,2,2014,Chief of Police,0.995826643361949
806,DEM,1170,Town of Gramercy,Brent Dicharry ,St. James,0,0,m,2,2,0,2014,Chief of Police,0.9948964725548963
807,DEM,165,Town of Gramercy,David E. Detillier ,St. James,0,0,m,2,2,0,2014,Chief of Police,0.9958660209367381
808,DEM,66,Town of Grand Coteau,John Jeff Lemelle ,St. Landry,0,0,m,3,3,0,2014,Chief of Police,0.9954070242261275
809,DEM,114,Town of Grand Coteau,Willie Troy Coco ,St. Landry,0,0,m,3,3,0,2014,Chief of Police,0.8245478946169532
810,DEM,328,Town of Grand Coteau,Wilton Guidry ,St. Landry,0,0,m,3,3,0,2014,Chief of Police,0.9977416912817477
811,REP,308,Town of Haughton,"""Wayne"" Berry ",Bossier,2,0,m,1,3,0,2016,Chief of Police,0.9952555487040492
812,DEM,414,Town of Haughton,Adrian Ruffin ,Bossier,2,0,m,1,3,0,2016,Chief of Police,0.8690607348475092
813,REP,896,Town of Haughton,"Ronald ""Todd"" Gibson ",Bossier,2,0,m,1,3,0,2016,Chief of Police,0.9956894288101295
814,NOPTY,483,Town of Haynesville,Anthony Craig Smith ,Claiborne,2,0,m,0,3,1,2014,Chief of Police,0.9931330989707974
815,REP,299,Town of Haynesville,Danny Mills ,Claiborne,2,0,m,0,3,1,2014,Chief of Police,0.994390076673969
816,REP,55,Town of Haynesville,"Kenneth ""Ken"" Wood ",Claiborne,2,0,m,0,3,1,2014,Chief of Police,0.995116846001582
817,REP,602,Town of Jena,Paul Smith ,Lasalle,1,0,m,0,2,1,2014,Chief of Police,0.995449657970713
818,NOPTY,772,Town of Jena,Scott McLendon ,Lasalle,1,0,m,0,2,1,2014,Chief of Police,0.996213262407998
819,OTHER,763,Town of Jonesboro,"James ""Spike"" Harris ",Jackson,0,1,m,0,2,1,2014,Chief of Police,0.9948946927250034
820,NOPTY,686,Town of Jonesboro,Maxie Faye Monroe ,Jackson,0,1,m,0,2,1,2014,Chief of Police,0.6318875251984435
821,DEM,289,Town of Kentwood,"""Greg"" Burton ",Tangipahoa,1,0,m,4,5,0,2014,Chief of Police,0.9979087528887036
822,DEM,100,Town of Kentwood,"""Sammy"" Broyles ",Tangipahoa,1,0,m,4,5,0,2014,Chief of Police,0.9704025389419296
823,DEM,67,Town of Kentwood,Keith Womack ,Tangipahoa,1,0,m,4,5,0,2014,Chief of Police,0.9944324676750684
824,REP,294,Town of Kentwood,Michael Kazeroni ,Tangipahoa,1,0,m,4,5,0,2014,Chief of Police,0.9942998490435268
825,DEM,247,Town of Kentwood,Wayne Stewart ,Tangipahoa,1,0,m,4,5,0,2014,Chief of Police,0.9952555487040492
826,DEM,360,Town of Krotz Springs,Norman Mouille ,St. Landry,0,0,m,2,2,0,2014,Chief of Police,0.9923469915059017
827,DEM,364,Town of Krotz Springs,"Wanda ""Susie"" Lacassin ",St. Landry,0,0,f,2,2,0,2014,Chief of Police,0.9968407380731177
828,OTHER,383,Town of Lake Arthur,"""Ray"" Marcantel ",Jefferson Davis,0,1,m,1,3,1,2014,Chief of Police,0.9814597540543182
829,DEM,363,Town of Lake Arthur,Cheryl Vincent ,Jefferson Davis,0,1,f,1,3,1,2014,Chief of Police,0.9978893583941136
830,NOPTY,272,Town of Lake Arthur,Kerry Bob Turner ,Jefferson Davis,0,1,,1,3,1,2014,Chief of Police,0
831,DEM,1046,Town of Lake Providence,"Aaron ""Rudy"" Threats ",East Carroll,0,0,m,2,2,0,2014,Chief of Police,0.9898886383284538
832,DEM,833,Town of Lake Providence,Jason Richardson ,East Carroll,0,0,m,2,2,0,2014,Chief of Police,0.9942578919054537
833,DEM,363,Town of Lockport,"Ernest P. Boudreaux, Sr. ",Lafourche,0,0,m,3,3,0,2016,Chief of Police,0.9923010485161761
834,DEM,56,Town of Lockport,"Hamilton ""Buck"" Guidroz ",Lafourche,0,0,m,3,3,0,2016,Chief of Police,1.0
835,DEM,612,Town of Lockport,Warren Vedros ,Lafourche,0,0,m,3,3,0,2016,Chief of Police,0.993995646409013
836,DEM,1345,Town of Lutcher,Dwan Bowser ,St. James,0,0,,2,2,0,2014,Chief of Police,0
837,DEM,282,Town of Lutcher,Iana Gaines Joseph ,St. James,0,0,f,2,2,0,2014,Chief of Police,1.0
838,DEM,171,Town of Mamou,"Allen S. Noel, Sr. ",Evangeline,1,0,m,2,4,1,2014,Chief of Police,0.9930886569488963
839,NOPTY,137,Town of Mamou,Charles Perdices ,Evangeline,1,0,m,2,4,1,2014,Chief of Police,0.9940010817081071
840,DEM,484,Town of Mamou,Katina Richard ,Evangeline,1,0,f,2,4,1,2014,Chief of Police,0.9967883885722484
841,REP,421,Town of Mamou,Robert McGee ,Evangeline,1,0,m,2,4,1,2014,Chief of Police,0.9952560453690997
842,OTHER,68,Town of Mangham,Jerry Lynn Graham ,Richland,0,1,m,1,2,0,2014,Chief of Police,0.974761974032612
843,DEM,180,Town of Mangham,Perry Fleming ,Richland,0,1,m,1,2,0,2014,Chief of Police,0.9742131603754589
844,DEM,430,Town of Mansura,John K. Johnson ,Avoyelles,0,0,m,2,2,0,2014,Chief of Police,0.9954070242261275
845,DEM,155,Town of Mansura,"Phillip ""Pecan"" Lucas, Jr. ",Avoyelles,0,0,m,2,2,0,2014,Chief of Police,0.9945836354273239
846,DEM,316,Town of Maringouin,Hosea K. Anderson ,Iberville,0,0,m,2,2,0,2014,Chief of Police,0.998619615186463
847,DEM,297,Town of Maringouin,John E. Simien ,Iberville,0,0,m,2,2,0,2014,Chief of Police,0.9954070242261275
848,REP,25,Town of Marion,Charles V. Brown ,Union,1,0,m,1,2,0,2014,Chief of Police,0.9940010817081071
849,DEM,235,Town of Marion,Mark Dodd ,Union,1,0,m,1,2,0,2014,Chief of Police,0.9964442833016813
850,DEM,300,Town of Melville,Anthony Moreau ,St. Landry,0,0,m,2,2,0,2014,Chief of Police,0.9931330989707974
851,DEM,253,Town of Melville,John Mckeel ,St. Landry,0,0,m,2,2,0,2014,Chief of Police,0.9954070242261275
852,DEM,80,Town of Newellton,"Jerry Martin, Sr. ",Tensas,0,0,m,3,3,0,2016,Chief of Police,0.974761974032612
853,DEM,297,Town of Newellton,Johnny Gales ,Tensas,0,0,m,3,3,0,2016,Chief of Police,0.9881686765203005
854,DEM,164,Town of Newellton,Rocco Furello ,Tensas,0,0,m,3,3,0,2016,Chief of Police,0.9993500264921068
855,DEM,464,Town of Oberlin,Grady K. Haynes ,Allen,1,0,m,2,3,0,2014,Chief of Police,0.9873078607044378
856,REP,53,Town of Oberlin,Terry R. Reeves ,Allen,1,0,m,2,3,0,2014,Chief of Police,0.7933753306521132
857,DEM,291,Town of Oberlin,Wayne Courville ,Allen,1,0,m,2,3,0,2014,Chief of Police,0.9952555487040492
858,NOPTY,37,Town of Pearl River,"""Eddie"" Lagman ",St. Tammany,3,0,m,0,5,2,2014,Chief of Police,0.9493866083406423
859,REP,372,Town of Pearl River,"""JJ"" Jennings ",St. Tammany,3,0,m,0,5,2,2014,Chief of Police,1.0
860,NOPTY,204,Town of Pearl River,"Edward ""Ed"" Haisch ",St. Tammany,3,0,m,0,5,2,2014,Chief of Police,0.9949059318555097
861,REP,196,Town of Pearl River,Mark Barrios ,St. Tammany,3,0,m,0,5,2,2014,Chief of Police,0.9964442833016813
862,REP,221,Town of Pearl River,Matthew McQueen ,St. Tammany,3,0,m,0,5,2,2014,Chief of Police,0.995201984446223
863,NOPTY,535,Town of Port Barre,Deon R. Boudreaux ,St. Landry,0,1,m,0,2,1,2014,Chief of Police,0.8340959307824491
864,OTHER,185,Town of Port Barre,Vickie Martin Keys ,St. Landry,0,1,f,0,2,1,2014,Chief of Police,0.99679336342848
865,DEM,171,Town of Ringgold,Antwoin Moore ,Bienville,0,0,m,2,2,0,2014,Chief of Police,1.0
866,DEM,362,Town of Ringgold,Roosevelt Kinsey ,Bienville,0,0,m,2,2,0,2014,Chief of Police,0.992226071067202
867,NOPTY,30,Town of Sarepta,"Raymond Moore, Jr. ",Webster,1,0,m,0,3,2,2016,Chief of Police,0.9942180892480348
868,NOPTY,146,Town of Sarepta,Richard Downs ,Webster,1,0,m,0,3,2,2016,Chief of Police,0.9957745171215943
869,REP,188,Town of Sarepta,Ted Lewis ,Webster,1,0,m,0,3,2,2016,Chief of Police,0.997511542868485
870,OTHER,401,Town of Sunset,"""Chad"" Primeaux ",St. Landry,0,1,m,4,5,0,2014,Chief of Police,0.9949966789288132
871,DEM,319,Town of Sunset,Henry Andrus Nelson ,St. Landry,0,1,m,4,5,0,2014,Chief of Police,0.9911994957152276
872,DEM,113,Town of Sunset,Kevin Pugh ,St. Landry,0,1,m,4,5,0,2014,Chief of Police,0.9945180647631703
873,DEM,379,Town of Sunset,"Luis ""Louie"" Padilla ",St. Landry,0,1,m,4,5,0,2014,Chief of Police,0.9902327739390177
874,DEM,38,Town of Sunset,Russell James Jolivette ,St. Landry,0,1,m,4,5,0,2014,Chief of Police,0.9948492922536096
875,NOPTY,58,Town of Tullos,Gary McDaniel ,Lasalle,0,0,m,0,3,3,2014,Chief of Police,0.9959022097468163
876,NOPTY,41,Town of Tullos,Mickey L. Martin ,Lasalle,0,0,m,0,3,3,2014,Chief of Police,0.8187339150542838
877,NOPTY,22,Town of Tullos,Sandy Haworth ,Lasalle,0,0,f,0,3,3,2014,Chief of Police,0.8989496788597663
