"","position","district","candidate","year","parish","party","votes","n_can","n_dem","n_rep","n_nopty","n_other","genoffice"
"532","Aldermen","Village of Angie (3 to be elected)","Gilbert Ball ",2016,"Washington","REP",55,6,1,4,0,1,"Aldermen"
"533","Aldermen","Village of Angie (3 to be elected)","James Holmes ",2016,"Washington","REP",38,6,1,4,0,1,"Aldermen"
"534","Aldermen","Village of Angie (3 to be elected)","Linda ""Gail"" Seal ",2016,"Washington","REP",26,6,1,4,0,1,"Aldermen"
"535","Aldermen","Village of Angie (3 to be elected)","Roxie Fornea ",2016,"Washington","REP",54,6,1,4,0,1,"Aldermen"
"536","Aldermen","Village of Bienville (3 to be elected)","Dorothy Anderson ",2014,"Bienville","NOPTY",52,5,0,0,5,0,"Aldermen"
"537","Aldermen","Village of Bienville (3 to be elected)","James ""Jamie"" Smith ",2014,"Bienville","NOPTY",100,5,0,0,5,0,"Aldermen"
"538","Aldermen","Village of Bienville (3 to be elected)","James Neal Kirkham ",2014,"Bienville","NOPTY",102,5,0,0,5,0,"Aldermen"
"539","Aldermen","Village of Bienville (3 to be elected)","Marcie Boston ",2014,"Bienville","NOPTY",62,5,0,0,5,0,"Aldermen"
"540","Aldermen","Village of Bienville (3 to be elected)","Roy Walls ",2014,"Bienville","NOPTY",91,5,0,0,5,0,"Aldermen"
"541","Aldermen","Village of Collinston (3 to be elected)","Betty Jones ",2014,"Morehouse","DEM",53,4,3,1,0,0,"Aldermen"
"542","Aldermen","Village of Collinston (3 to be elected)","Dawn Gilbreath ",2014,"Morehouse","REP",44,4,3,1,0,0,"Aldermen"
"543","Aldermen","Village of Collinston (3 to be elected)","Dorothy J. Bradshaw ",2014,"Morehouse","DEM",71,4,3,1,0,0,"Aldermen"
"544","Aldermen","Village of Collinston (3 to be elected)","Renee Pates ",2014,"Morehouse","DEM",56,4,3,1,0,0,"Aldermen"
"545","Aldermen","Village of Delta (3 to be elected)","Billy Peebles ",2016,"Madison","NOPTY",56,4,0,0,3,1,"Aldermen"
"546","Aldermen","Village of Delta (3 to be elected)","Danny Odom ",2016,"Madison","NOPTY",19,4,0,0,3,1,"Aldermen"
"547","Aldermen","Village of Delta (3 to be elected)","Donald Frith ",2016,"Madison","NOPTY",61,4,0,0,3,1,"Aldermen"
"548","Aldermen","Village of Delta (3 to be elected)","Katherine Davis ",2016,"Madison","OTHER",60,4,0,0,3,1,"Aldermen"
"549","Aldermen","Village of Dixie Inn (3 to be elected)","""Nell"" Finlay ",2016,"Webster","REP",38,4,0,4,0,0,"Aldermen"
"550","Aldermen","Village of Dixie Inn (3 to be elected)","Connie Woods ",2016,"Webster","REP",38,4,0,4,0,0,"Aldermen"
"551","Aldermen","Village of Dixie Inn (3 to be elected)","Donna Hoffoss ",2016,"Webster","REP",49,4,0,4,0,0,"Aldermen"
"552","Aldermen","Village of Dixie Inn (3 to be elected)","Judy McKenzie ",2016,"Webster","REP",48,4,0,4,0,0,"Aldermen"
"553","Aldermen","Village of Dodson (3 to be elected)","Danny Browning ",2014,"Winn","DEM",32,7,5,1,1,0,"Aldermen"
"554","Aldermen","Village of Dodson (3 to be elected)","Debra Hill ",2014,"Winn","REP",24,7,5,1,1,0,"Aldermen"
"555","Aldermen","Village of Dodson (3 to be elected)","Jami Ashley ",2014,"Winn","DEM",44,7,5,1,1,0,"Aldermen"
"556","Aldermen","Village of Dodson (3 to be elected)","Karla Shively ",2014,"Winn","DEM",57,7,5,1,1,0,"Aldermen"
"557","Aldermen","Village of Dodson (3 to be elected)","Lydia Chamberlain ",2014,"Winn","DEM",20,7,5,1,1,0,"Aldermen"
"558","Aldermen","Village of Dodson (3 to be elected)","Sarah Maxwell ",2014,"Winn","NOPTY",42,7,5,1,1,0,"Aldermen"
"559","Aldermen","Village of Dodson (3 to be elected)","Verna Hollingsworth ",2014,"Winn","DEM",85,7,5,1,1,0,"Aldermen"
"560","Aldermen","Village of Edgefield (3 to be elected)","""Trish"" Gamble ",2016,"Red River","DEM",42,4,1,3,0,0,"Aldermen"
"561","Aldermen","Village of Edgefield (3 to be elected)","David Layfield ",2016,"Red River","REP",56,4,1,3,0,0,"Aldermen"
"562","Aldermen","Village of Edgefield (3 to be elected)","Eugene Freeman ",2016,"Red River","REP",61,4,1,3,0,0,"Aldermen"
"563","Aldermen","Village of Edgefield (3 to be elected)","Jack Terrell ",2016,"Red River","REP",74,4,1,3,0,0,"Aldermen"
"564","Aldermen","Village of Fenton (3 to be elected)","Bobbie Jo Dickens ",2016,"Jefferson Davis","DEM",34,7,6,0,1,0,"Aldermen"
"565","Aldermen","Village of Fenton (3 to be elected)","Clarence Talbert, Jr. ",2016,"Jefferson Davis","DEM",67,7,6,0,1,0,"Aldermen"
"566","Aldermen","Village of Fenton (3 to be elected)","Clifford Brian Leday ",2016,"Jefferson Davis","DEM",47,7,6,0,1,0,"Aldermen"
"567","Aldermen","Village of Fenton (3 to be elected)","Gwenevere Artis Johnson ",2016,"Jefferson Davis","DEM",72,7,6,0,1,0,"Aldermen"
"568","Aldermen","Village of Fenton (3 to be elected)","Marella Hubachek ",2016,"Jefferson Davis","NOPTY",72,7,6,0,1,0,"Aldermen"
"569","Aldermen","Village of Fenton (3 to be elected)","Mary M. Jones ",2016,"Jefferson Davis","DEM",81,7,6,0,1,0,"Aldermen"
"570","Aldermen","Village of Fenton (3 to be elected)","Shawanda G. Sowells ",2016,"Jefferson Davis","DEM",95,7,6,0,1,0,"Aldermen"
"571","Aldermen","Village of Folsom (3 to be elected)","Jill Palmer Mathies ",2014,"St. Tammany","REP",151,5,2,3,0,0,"Aldermen"
"572","Aldermen","Village of Folsom (3 to be elected)","Lance Willie ",2014,"St. Tammany","REP",199,5,2,3,0,0,"Aldermen"
"573","Aldermen","Village of Folsom (3 to be elected)","Paulette A. Lee ",2014,"St. Tammany","DEM",146,5,2,3,0,0,"Aldermen"
"574","Aldermen","Village of Folsom (3 to be elected)","Richard B. Atkins ",2014,"St. Tammany","REP",83,5,2,3,0,0,"Aldermen"
"575","Aldermen","Village of Folsom (3 to be elected)","Ronald W. ""Ronnie"" Holliday ",2014,"St. Tammany","DEM",121,5,2,3,0,0,"Aldermen"
"576","Aldermen","Village of Forest Hill (3 to be elected)","""Mike"" Soulter ",2014,"Rapides","REP",95,7,2,4,1,0,"Aldermen"
"577","Aldermen","Village of Forest Hill (3 to be elected)","Anna Clark Cloud ",2014,"Rapides","DEM",100,7,2,4,1,0,"Aldermen"
"578","Aldermen","Village of Forest Hill (3 to be elected)","Danny Perkins ",2014,"Rapides","DEM",108,7,2,4,1,0,"Aldermen"
"579","Aldermen","Village of Forest Hill (3 to be elected)","Donna Arrington ",2014,"Rapides","REP",73,7,2,4,1,0,"Aldermen"
"580","Aldermen","Village of Forest Hill (3 to be elected)","Dorothy Walters ",2014,"Rapides","NOPTY",53,7,2,4,1,0,"Aldermen"
"581","Aldermen","Village of Forest Hill (3 to be elected)","Jerriot Robinson ",2014,"Rapides","REP",124,7,2,4,1,0,"Aldermen"
"582","Aldermen","Village of Forest Hill (3 to be elected)","Stacy Johnson Danzy ",2014,"Rapides","REP",116,7,2,4,1,0,"Aldermen"
"583","Aldermen","Village of Georgetown (3 to be elected)","""Jim"" Bradford ",2016,"Grant","NOPTY",70,4,0,1,1,2,"Aldermen"
"584","Aldermen","Village of Georgetown (3 to be elected)","""Ray"" Williamson ",2016,"Grant","OTHER",87,4,0,1,1,2,"Aldermen"
"585","Aldermen","Village of Georgetown (3 to be elected)","Dorothy Self ",2016,"Grant","OTHER",80,4,0,1,1,2,"Aldermen"
"586","Aldermen","Village of Georgetown (3 to be elected)","Jonathan Spurgeon ",2016,"Grant","REP",104,4,0,1,1,2,"Aldermen"
"587","Aldermen","Village of Gilbert (3 to be elected)","""Randy"" Lloyd ",2014,"Franklin","NOPTY",77,5,1,0,4,0,"Aldermen"
"588","Aldermen","Village of Gilbert (3 to be elected)","Christine Ezell ",2014,"Franklin","DEM",130,5,1,0,4,0,"Aldermen"
"589","Aldermen","Village of Gilbert (3 to be elected)","Lovie Ezell ",2014,"Franklin","NOPTY",54,5,1,0,4,0,"Aldermen"
"590","Aldermen","Village of Gilbert (3 to be elected)","Susan McManus Britt ",2014,"Franklin","NOPTY",141,5,1,0,4,0,"Aldermen"
"591","Aldermen","Village of Gilbert (3 to be elected)","Tony Morris ",2014,"Franklin","NOPTY",24,5,1,0,4,0,"Aldermen"
"592","Aldermen","Village of Goldonna (3 to be elected)","""Ben"" Dupree ",2014,"Natchitoches","REP",112,4,0,3,0,1,"Aldermen"
"593","Aldermen","Village of Goldonna (3 to be elected)","Daniel ""Dan"" Dupree ",2014,"Natchitoches","REP",117,4,0,3,0,1,"Aldermen"
"594","Aldermen","Village of Goldonna (3 to be elected)","Lawrence Sampey ",2014,"Natchitoches","OTHER",87,4,0,3,0,1,"Aldermen"
"595","Aldermen","Village of Goldonna (3 to be elected)","Reed Franklin ",2014,"Natchitoches","REP",135,4,0,3,0,1,"Aldermen"
"596","Aldermen","Village of Grosse Tete (3 to be elected)","Barbara ""Jeanie"" David ",2016,"Iberville","REP",254,5,3,2,0,0,"Aldermen"
"597","Aldermen","Village of Grosse Tete (3 to be elected)","Clint Seneca ",2016,"Iberville","DEM",216,5,3,2,0,0,"Aldermen"
"598","Aldermen","Village of Grosse Tete (3 to be elected)","Deisha Chaney ",2016,"Iberville","DEM",135,5,3,2,0,0,"Aldermen"
"599","Aldermen","Village of Grosse Tete (3 to be elected)","Kyle Booksh ",2016,"Iberville","REP",197,5,3,2,0,0,"Aldermen"
"600","Aldermen","Village of Grosse Tete (3 to be elected)","Marcus D. Hill, Sr. ",2016,"Iberville","DEM",244,5,3,2,0,0,"Aldermen"
"601","Aldermen","Village of Harrisonburg (3 to be elected)","Charles ""Greg"" Terry ",2014,"Catahoula","REP",110,5,1,2,0,2,"Aldermen"
"602","Aldermen","Village of Harrisonburg (3 to be elected)","Judy Cotten ",2014,"Catahoula","OTHER",113,5,1,2,0,2,"Aldermen"
"603","Aldermen","Village of Harrisonburg (3 to be elected)","Kelly Estis ",2014,"Catahoula","REP",48,5,1,2,0,2,"Aldermen"
"604","Aldermen","Village of Harrisonburg (3 to be elected)","Lisa Ford Sikes ",2014,"Catahoula","OTHER",89,5,1,2,0,2,"Aldermen"
"605","Aldermen","Village of Harrisonburg (3 to be elected)","Louis ""Five-O"" Hatten ",2014,"Catahoula","DEM",87,5,1,2,0,2,"Aldermen"
"606","Aldermen","Village of Ida (3 to be elected)","Brian Hevrin ",2016,"Caddo","REP",72,4,0,2,1,1,"Aldermen"
"607","Aldermen","Village of Ida (3 to be elected)","David M. Rose ",2016,"Caddo","NOPTY",66,4,0,2,1,1,"Aldermen"
"608","Aldermen","Village of Ida (3 to be elected)","Harvey D. Anders ",2016,"Caddo","OTHER",69,4,0,2,1,1,"Aldermen"
"609","Aldermen","Village of Ida (3 to be elected)","Joseph A. Gott ",2016,"Caddo","REP",83,4,0,2,1,1,"Aldermen"
"610","Aldermen","Village of Maurice (3 to be elected)","Kenneth ""Keno"" Picard ",2014,"Vermilion","OTHER",340,4,1,2,0,1,"Aldermen"
"611","Aldermen","Village of Maurice (3 to be elected)","Lynn Howell ",2014,"Vermilion","DEM",217,4,1,2,0,1,"Aldermen"
"612","Aldermen","Village of Maurice (3 to be elected)","Phyllis Catalon Johnson ",2014,"Vermilion","REP",285,4,1,2,0,1,"Aldermen"
"613","Aldermen","Village of Maurice (3 to be elected)","Travis Bodin ",2014,"Vermilion","REP",202,4,1,2,0,1,"Aldermen"
"614","Aldermen","Village of Mermentau (3 to be elected)","David Fruge ",2014,"Acadia","DEM",146,4,4,0,0,0,"Aldermen"
"615","Aldermen","Village of Mermentau (3 to be elected)","Juanita Richard ",2014,"Acadia","DEM",160,4,4,0,0,0,"Aldermen"
"616","Aldermen","Village of Mermentau (3 to be elected)","Theresa Simon ",2014,"Acadia","DEM",69,4,4,0,0,0,"Aldermen"
"617","Aldermen","Village of Mermentau (3 to be elected)","Troy Cormier ",2014,"Acadia","DEM",180,4,4,0,0,0,"Aldermen"
"618","Aldermen","Village of Montpelier (3 to be elected)","Billie Claire Dykes Tycer ",2014,"St. Helena","DEM",56,4,2,2,0,0,"Aldermen"
"619","Aldermen","Village of Montpelier (3 to be elected)","Bradley ""Brad"" Davis ",2014,"St. Helena","REP",76,4,2,2,0,0,"Aldermen"
"620","Aldermen","Village of Montpelier (3 to be elected)","Lawrence Sanford, Jr. ",2014,"St. Helena","DEM",68,4,2,2,0,0,"Aldermen"
"621","Aldermen","Village of Montpelier (3 to be elected)","Michael L. Ard ",2014,"St. Helena","REP",61,4,2,2,0,0,"Aldermen"
"622","Aldermen","Village of Moreauville (3 to be elected)","Felix Benjamin ",2014,"Avoyelles","DEM",244,4,2,0,1,1,"Aldermen"
"623","Aldermen","Village of Moreauville (3 to be elected)","Meegan ""Diaville"" Simon ",2014,"Avoyelles","NOPTY",256,4,2,0,1,1,"Aldermen"
"624","Aldermen","Village of Moreauville (3 to be elected)","Oscar ""OP"" Goody, Jr. ",2014,"Avoyelles","DEM",257,4,2,0,1,1,"Aldermen"
"625","Aldermen","Village of Moreauville (3 to be elected)","Penn Lemoine ",2014,"Avoyelles","OTHER",275,4,2,0,1,1,"Aldermen"
"626","Aldermen","Village of Morse (3 to be elected)","Eric Primeaux ",2014,"Acadia","DEM",260,5,3,1,1,0,"Aldermen"
"627","Aldermen","Village of Morse (3 to be elected)","Hollins Trahan, Sr. ",2014,"Acadia","REP",91,5,3,1,1,0,"Aldermen"
"628","Aldermen","Village of Morse (3 to be elected)","Peggy S. Romero ",2014,"Acadia","DEM",213,5,3,1,1,0,"Aldermen"
"629","Aldermen","Village of Morse (3 to be elected)","Raymond Leger ",2014,"Acadia","DEM",175,5,3,1,1,0,"Aldermen"
"630","Aldermen","Village of Morse (3 to be elected)","Ross Michael Trahan ",2014,"Acadia","NOPTY",130,5,3,1,1,0,"Aldermen"
"631","Aldermen","Village of Napoleonville (3 to be elected)","Joyce Bell ",2014,"Assumption","DEM",223,4,4,0,0,0,"Aldermen"
"632","Aldermen","Village of Napoleonville (3 to be elected)","Reneta Johnson Davis ",2014,"Assumption","DEM",90,4,4,0,0,0,"Aldermen"
"633","Aldermen","Village of Napoleonville (3 to be elected)","Richard Bilello ",2014,"Assumption","DEM",177,4,4,0,0,0,"Aldermen"
"634","Aldermen","Village of Napoleonville (3 to be elected)","Velma Jupiter ",2014,"Assumption","DEM",237,4,4,0,0,0,"Aldermen"
"635","Aldermen","Village of North Hodge (3 to be elected)","""Tony"" Duffey ",2014,"Jackson","OTHER",54,6,0,1,2,3,"Aldermen"
"636","Aldermen","Village of North Hodge (3 to be elected)","Chasity Davis Womack ",2014,"Jackson","REP",69,6,0,1,2,3,"Aldermen"
"637","Aldermen","Village of North Hodge (3 to be elected)","Douglas Woods ",2014,"Jackson","OTHER",53,6,0,1,2,3,"Aldermen"
"638","Aldermen","Village of North Hodge (3 to be elected)","Eric Hinton ",2014,"Jackson","OTHER",45,6,0,1,2,3,"Aldermen"
"639","Aldermen","Village of North Hodge (3 to be elected)","J. W. ""Buster"" Tumlin, Jr. ",2014,"Jackson","NOPTY",71,6,0,1,2,3,"Aldermen"
"640","Aldermen","Village of North Hodge (3 to be elected)","Patricia Ayres ",2014,"Jackson","NOPTY",31,6,0,1,2,3,"Aldermen"
"641","Aldermen","Village of Palmetto (3 to be elected)","Amanda M. Krull ",2014,"St. Landry","NOPTY",16,5,2,0,3,0,"Aldermen"
"642","Aldermen","Village of Palmetto (3 to be elected)","Debra ""Lynn"" Coulon ",2014,"St. Landry","NOPTY",22,5,2,0,3,0,"Aldermen"
"643","Aldermen","Village of Palmetto (3 to be elected)","Guyton W. Budden ",2014,"St. Landry","NOPTY",37,5,2,0,3,0,"Aldermen"
"644","Aldermen","Village of Palmetto (3 to be elected)","Joseph Irving, Jr. ",2014,"St. Landry","DEM",54,5,2,0,3,0,"Aldermen"
"645","Aldermen","Village of Palmetto (3 to be elected)","Judy S. Dupre ",2014,"St. Landry","DEM",35,5,2,0,3,0,"Aldermen"
"646","Aldermen","Village of Parks (3 to be elected)","""Yvonne"" Narcisse ",2014,"St. Martin","DEM",226,4,3,0,0,1,"Aldermen"
"647","Aldermen","Village of Parks (3 to be elected)","Eva Craven Potier ",2014,"St. Martin","DEM",193,4,3,0,0,1,"Aldermen"
"648","Aldermen","Village of Parks (3 to be elected)","Harold ""Kellogg"" Robertson ",2014,"St. Martin","OTHER",220,4,3,0,0,1,"Aldermen"
"649","Aldermen","Village of Parks (3 to be elected)","Rose Nedie Potier ",2014,"St. Martin","DEM",177,4,3,0,0,1,"Aldermen"
"650","Aldermen","Village of Pine Prairie (3 to be elected)","""Debbie"" Oge ",2016,"Evangeline","DEM",313,4,2,2,0,0,"Aldermen"
"651","Aldermen","Village of Pine Prairie (3 to be elected)","Gilbert J. Bordelon ",2016,"Evangeline","REP",301,4,2,2,0,0,"Aldermen"
"652","Aldermen","Village of Pine Prairie (3 to be elected)","Gregory Savant ",2016,"Evangeline","REP",90,4,2,2,0,0,"Aldermen"
"653","Aldermen","Village of Pine Prairie (3 to be elected)","Tammy M. Hammond ",2016,"Evangeline","DEM",339,4,2,2,0,0,"Aldermen"
"654","Aldermen","Village of Powhatan (3 to be elected)","Ezekiel Ray Jewett, Jr. ",2016,"Natchitoches","DEM",24,5,4,0,1,0,"Aldermen"
"655","Aldermen","Village of Powhatan (3 to be elected)","Hardrick Rivers ",2016,"Natchitoches","DEM",38,5,4,0,1,0,"Aldermen"
"656","Aldermen","Village of Powhatan (3 to be elected)","Jamika Neal ",2016,"Natchitoches","NOPTY",29,5,4,0,1,0,"Aldermen"
"657","Aldermen","Village of Powhatan (3 to be elected)","Jessie Redford ",2016,"Natchitoches","DEM",16,5,4,0,1,0,"Aldermen"
"658","Aldermen","Village of Powhatan (3 to be elected)","Willie Davis, Jr. ",2016,"Natchitoches","DEM",33,5,4,0,1,0,"Aldermen"
"659","Aldermen","Village of Reeves (3 to be elected)","""Chris"" Guillory ",2014,"Allen","NOPTY",50,4,1,2,1,0,"Aldermen"
"660","Aldermen","Village of Reeves (3 to be elected)","Renae Duhon ",2014,"Allen","REP",47,4,1,2,1,0,"Aldermen"
"661","Aldermen","Village of Reeves (3 to be elected)","Robin Newell ",2014,"Allen","REP",46,4,1,2,1,0,"Aldermen"
"662","Aldermen","Village of Reeves (3 to be elected)","Tara Dotson ",2014,"Allen","DEM",28,4,1,2,1,0,"Aldermen"
"663","Aldermen","Village of Richmond (3 to be elected)","Bobby Ezell ",2014,"Madison","REP",99,6,1,4,1,0,"Aldermen"
"664","Aldermen","Village of Richmond (3 to be elected)","JD Cherene ",2014,"Madison","REP",63,6,1,4,1,0,"Aldermen"
"665","Aldermen","Village of Richmond (3 to be elected)","Lester ""Roy"" McIntyre, Jr. ",2014,"Madison","NOPTY",129,6,1,4,1,0,"Aldermen"
"666","Aldermen","Village of Richmond (3 to be elected)","Margaret Leoty ",2014,"Madison","REP",100,6,1,4,1,0,"Aldermen"
"667","Aldermen","Village of Richmond (3 to be elected)","Olga Butler ",2014,"Madison","REP",114,6,1,4,1,0,"Aldermen"
"668","Aldermen","Village of Richmond (3 to be elected)","Tommy Wixson ",2014,"Madison","DEM",85,6,1,4,1,0,"Aldermen"
"669","Aldermen","Village of Robeline (3 to be elected)","Ann Moran ",2014,"Natchitoches","DEM",40,4,3,0,0,1,"Aldermen"
"670","Aldermen","Village of Robeline (3 to be elected)","Bergen Oge ",2014,"Natchitoches","DEM",58,4,3,0,0,1,"Aldermen"
"671","Aldermen","Village of Robeline (3 to be elected)","Gilda Jenkins ",2014,"Natchitoches","OTHER",71,4,3,0,0,1,"Aldermen"
"672","Aldermen","Village of Robeline (3 to be elected)","Randall Bockstanz ",2014,"Natchitoches","DEM",57,4,3,0,0,1,"Aldermen"
"673","Aldermen","Village of Sicily Island (3 to be elected)","""Mark"" Krause ",2014,"Catahoula","NOPTY",136,4,2,0,1,1,"Aldermen"
"674","Aldermen","Village of Sicily Island (3 to be elected)","Derrick Frazier ",2014,"Catahoula","DEM",146,4,2,0,1,1,"Aldermen"
"675","Aldermen","Village of Sicily Island (3 to be elected)","Donald E. Ashley ",2014,"Catahoula","OTHER",123,4,2,0,1,1,"Aldermen"
"676","Aldermen","Village of Sicily Island (3 to be elected)","Emma ""Donna"" Hilliard ",2014,"Catahoula","DEM",130,4,2,0,1,1,"Aldermen"
"677","Aldermen","Village of Simpson (3 to be elected)","Carol ""Ma Carol"" Adams ",2016,"Vernon","REP",177,4,0,4,0,0,"Aldermen"
"678","Aldermen","Village of Simpson (3 to be elected)","Lisa Thompson ",2016,"Vernon","REP",197,4,0,4,0,0,"Aldermen"
"679","Aldermen","Village of Simpson (3 to be elected)","Neil Standifer ",2016,"Vernon","REP",255,4,0,4,0,0,"Aldermen"
"680","Aldermen","Village of Simpson (3 to be elected)","Paula Parker ",2016,"Vernon","REP",203,4,0,4,0,0,"Aldermen"
"681","Aldermen","Village of Simsboro (3 to be elected)","""Doug"" Durrett ",2014,"Lincoln","DEM",191,6,4,1,0,1,"Aldermen"
"682","Aldermen","Village of Simsboro (3 to be elected)","""Joe"" Reed ",2014,"Lincoln","DEM",147,6,4,1,0,1,"Aldermen"
"683","Aldermen","Village of Simsboro (3 to be elected)","Jerry Davis ",2014,"Lincoln","REP",134,6,4,1,0,1,"Aldermen"
"684","Aldermen","Village of Simsboro (3 to be elected)","Kimberly Harris ",2014,"Lincoln","DEM",70,6,4,1,0,1,"Aldermen"
"685","Aldermen","Village of Simsboro (3 to be elected)","Rickey A. Grigsby, Sr. ",2014,"Lincoln","DEM",86,6,4,1,0,1,"Aldermen"
"686","Aldermen","Village of Simsboro (3 to be elected)","Thomas Wayne Neuroth ",2014,"Lincoln","OTHER",78,6,4,1,0,1,"Aldermen"
"687","Aldermen","Village of Tangipahoa (3 to be elected)","""Lamar"" Stewart ",2016,"Tangipahoa","DEM",77,7,7,0,0,0,"Aldermen"
"688","Aldermen","Village of Tangipahoa (3 to be elected)","Debrah Scott-Cyprian ",2016,"Tangipahoa","DEM",136,7,7,0,0,0,"Aldermen"
"689","Aldermen","Village of Tangipahoa (3 to be elected)","Pamela ""Muffie"" Bean ",2016,"Tangipahoa","DEM",77,7,7,0,0,0,"Aldermen"
"690","Aldermen","Village of Tangipahoa (3 to be elected)","Ricky L. Coleman ",2016,"Tangipahoa","DEM",157,7,7,0,0,0,"Aldermen"
"691","Aldermen","Village of Tangipahoa (3 to be elected)","Shelia Martin ",2016,"Tangipahoa","DEM",145,7,7,0,0,0,"Aldermen"
"692","Aldermen","Village of Tangipahoa (3 to be elected)","Vanessa Williams ",2016,"Tangipahoa","DEM",89,7,7,0,0,0,"Aldermen"
"693","Aldermen","Village of Tangipahoa (3 to be elected)","Virginia G. Baker ",2016,"Tangipahoa","DEM",118,7,7,0,0,0,"Aldermen"
"694","Aldermen","Village of Waterproof (3 to be elected)","Bobby Wilkerson ",2014,"Tensas","DEM",94,7,7,0,0,0,"Aldermen"
"695","Aldermen","Village of Waterproof (3 to be elected)","Emma Collins ",2014,"Tensas","DEM",99,7,7,0,0,0,"Aldermen"
"696","Aldermen","Village of Waterproof (3 to be elected)","Henry James Jenkins ",2014,"Tensas","DEM",167,7,7,0,0,0,"Aldermen"
"697","Aldermen","Village of Waterproof (3 to be elected)","Lionel Travers, Jr. ",2014,"Tensas","DEM",58,7,7,0,0,0,"Aldermen"
"698","Aldermen","Village of Waterproof (3 to be elected)","Robert Clark ",2014,"Tensas","DEM",185,7,7,0,0,0,"Aldermen"
"699","Aldermen","Village of Waterproof (3 to be elected)","Shelly Thomas White ",2014,"Tensas","DEM",54,7,7,0,0,0,"Aldermen"
"700","Aldermen","Village of Waterproof (3 to be elected)","Veronica Stacker ",2014,"Tensas","DEM",100,7,7,0,0,0,"Aldermen"
"701","Aldermen at Large","Town of Gramercy (2 to be elected)","Claude ""Clyde"" Wiggins ",2014,"St. James","DEM",740,3,3,0,0,0,"Alderman"
"702","Aldermen at Large","Town of Gramercy (2 to be elected)","Craig B. Calcagno ",2014,"St. James","DEM",629,3,3,0,0,0,"Alderman"
"703","Aldermen at Large","Town of Gramercy (2 to be elected)","Rubenstein Mitchell Clark ",2014,"St. James","DEM",547,3,3,0,0,0,"Alderman"
"704","Assessor",NA,"Jerome ""Dee"" Richard ",2014,"Lafourche","NOPTY",9005,3,0,1,2,0,"Assessor"
"705","Assessor",NA,"Jonathan ""Jo-Jo"" Cheramie ",2014,"Lafourche","REP",4646,3,0,1,2,0,"Assessor"
"706","Assessor",NA,"Wendy Thibodeaux ",2014,"Lafourche","NOPTY",14377,3,0,1,2,0,"Assessor"
"707","Associate Justice","Supreme Court, 3rd Supreme Court District","James ""Jimmy"" Genovese ",2016,"Multi-Parish Race","REP",133389,2,0,2,0,0,"Associate Justice"
"708","Associate Justice","Supreme Court, 3rd Supreme Court District","Marilyn Castle ",2016,"Multi-Parish Race","REP",128598,2,0,2,0,0,"Associate Justice"
"709","Chief of Police","City of Breaux Bridge","""P.J."" Hebert ",2014,"St. Martin","REP",1225,2,0,2,0,0,"Chief of Police"
"710","Chief of Police","City of Breaux Bridge","""Rollie"" Cantu ",2014,"St. Martin","REP",1831,2,0,2,0,0,"Chief of Police"
"711","Chief of Police","City of Broussard","Brannon Decou ",2014,"Multi-Parish Race","REP",1862,2,0,2,0,0,"Chief of Police"
"712","Chief of Police","City of Broussard","Todd Mouton ",2014,"Multi-Parish Race","REP",1491,2,0,2,0,0,"Chief of Police"
"713","Chief of Police","City of Crowley","Bendell Hunter ",2014,"Acadia","DEM",318,3,2,1,0,0,"Chief of Police"
"714","Chief of Police","City of Crowley","K. P. Gibson ",2014,"Acadia","DEM",3146,3,2,1,0,0,"Chief of Police"
"715","Chief of Police","City of Crowley","Madeline Robinson Cronin ",2014,"Acadia","REP",762,3,2,1,0,0,"Chief of Police"
"716","Chief of Police","City of Eunice","""Randy"" Fontenot ",2014,"Multi-Parish Race","OTHER",1433,5,2,2,0,1,"Chief of Police"
"717","Chief of Police","City of Eunice","Bart L. Thibodeaux ",2014,"Multi-Parish Race","REP",255,5,2,2,0,1,"Chief of Police"
"718","Chief of Police","City of Eunice","Joseph ""Jo Jo"" Reed ",2014,"Multi-Parish Race","DEM",295,5,2,2,0,1,"Chief of Police"
"719","Chief of Police","City of Eunice","Raymond ""Bubba"" Cole ",2014,"Multi-Parish Race","DEM",811,5,2,2,0,1,"Chief of Police"
"720","Chief of Police","City of Eunice","Ronald J. Dies ",2014,"Multi-Parish Race","REP",717,5,2,2,0,1,"Chief of Police"
"721","Chief of Police","City of Minden","""Steve"" Cropper ",2014,"Webster","NOPTY",3615,2,0,0,1,1,"Chief of Police"
"722","Chief of Police","City of Minden","""Tim"" Morris ",2014,"Webster","OTHER",813,2,0,0,1,1,"Chief of Police"
"723","Chief of Police","City of Oakdale","Joseph Lockett ",2016,"Allen","NOPTY",1089,2,0,0,2,0,"Chief of Police"
"724","Chief of Police","City of Oakdale","Scotty Laborde ",2016,"Allen","NOPTY",767,2,0,0,2,0,"Chief of Police"
"725","Chief of Police","City of Opelousas","Donald ""D.T."" Thompson ",2014,"St. Landry","DEM",3126,4,4,0,0,0,"Chief of Police"
"726","Chief of Police","City of Opelousas","Elton ""Cowboy Preacher"" Sam, Jr. ",2014,"St. Landry","DEM",192,4,4,0,0,0,"Chief of Police"
"727","Chief of Police","City of Opelousas","Herman ""Mc"" Rosette ",2014,"St. Landry","DEM",101,4,4,0,0,0,"Chief of Police"
"728","Chief of Police","City of Opelousas","Perry Gallow ",2014,"St. Landry","DEM",2923,4,4,0,0,0,"Chief of Police"
